player,mu,sigma,wins,losses,sets
hwats,9.89386211772,3.56119631123,0,12,12
yung duccboii,9.84706782931,3.96270931994,0,7,7
seaniemaster,9.64580891533,3.7971690714,0,8,8
macrado,9.53043073524,3.41245129411,0,13,13
gluu,9.48512551935,3.89013074451,0,6,6
jet fuel,9.32846776898,2.9014972597,1,16,17
soggy biscuit,9.12203604566,3.39620644459,0,9,9
seaweed dragon,8.9854908272,3.70450733786,0,8,8
golfclubninja,8.64853549655,2.81158507765,1,28,29
archduke,7.49560862507,3.60769807975,0,9,9
superboomfan,51.1055328666,1.18756128332,192,11,203
alvin,49.0718980174,1.20487631529,87,11,98
fukurou,48.7632312317,1.57789006848,42,4,46
wizzrobe,46.2857315212,1.07735295595,109,23,132
kysk,46.2593706764,2.03443376375,18,4,22
mariguas,46.2425560549,1.10091608901,102,22,124
kurabba,46.057813933,1.93210957772,20,4,24
wario,46.0396284856,2.28854387141,18,3,21
wangera,45.3460951838,1.69764162814,29,7,36
dext3r,45.0365319455,1.15375492485,77,20,97
kerokeroppi,44.9380149555,1.07784088388,88,25,113
isai,44.6950957259,1.26008917269,68,15,83
tacos,44.2007782963,1.19969077718,80,21,101
zero,44.0831221109,1.10997786032,92,22,114
fox,43.4730158267,1.29718227137,56,12,68
prince,43.4630695233,2.15601034863,17,4,21
joshi,42.6841243193,1.84865428248,21,5,26
tr3gthez,42.5794036373,1.21517161515,63,19,82
brody,42.5179177684,0.950689733176,185,57,242
lowww,42.1618367344,1.35167601002,53,11,64
gyaki,41.9782896539,2.63934253874,11,2,13
revan,41.9525050245,1.16360425332,65,22,87
hiyo,41.672965166,2.6930787393,9,2,11
yu-kun,41.6287847817,3.0522751637,5,2,7
taimai,41.1999927343,2.99721885058,5,2,7
stranded,40.8606134009,1.21458331472,63,19,82
dtan,40.1623494631,1.50211583622,27,12,39
lord narwhal,40.1585319562,1.18197075234,60,20,80
robert,40.0195271528,1.31101314792,44,15,59
bloodpeach,39.9294001492,3.1970330408,9,2,11
jaimehr,39.8009042091,1.25790511214,48,21,69
firo,39.6524797744,1.46142264895,35,14,49
cobr,39.5459182616,1.29722156835,45,18,63
hammerheart,39.1406296267,1.26090578525,55,18,73
kort,39.1346318868,1.73577220723,26,10,36
shalaka,38.9862191115,1.67039715088,27,11,38
derek #squats,38.8419594233,2.13064325542,11,5,16
banze,38.5738127634,2.4543127245,11,5,16
czar,38.5665852899,1.68438109284,28,9,37
ctg,38.4758012966,1.02815225324,94,36,130
heropie,38.4548680135,1.87880320634,20,7,27
hero pie,38.3613652462,1.9729778604,18,8,26
kd3,38.3349265269,1.05835758151,83,27,110
